FULL_NAME,NAME,REGION,DISTRICT,PARTY,START,END,PERIOD
"Acuña Cisternas, Mario",Acuna,IX,52,DC,1997,2001,2
"Aguiló Melo, Sergio",Aguilo,VII,37,PS,1997,2001,2
"Alessandri Valdés, Gustavo   ",Alessandri,RM,20,RN,1997,2001,2
"Allende Bussi, Isabel   ",Allende (dona Isabel),RM,29,PS,1997,2001,2
"Alvarado Andrade, Claudio",Alvarado,X,58,IND,1997,2001,2
"Alvarez Zenteno, Rodrigo   ",Alvarez,XII,60,IND,1997,2001,2
"Bertolino Rendic, Mario   ",Bertolino,IV,7,RN,1997,2001,2
"Bustos Ramírez, Juan   ",Bustos,V,12,PS,1997,2001,2
"Caraball Martínez, Eliana",Caraball (dona Eliana),RM,27,DC,1997,2001,2
"Ceroni Fuentes, Guillermo   ",Ceroni,VII ,40,PPD,1997,2001,2
"Cornejo González, Aldo   ",Cornejo (don Aldo),V,13,DC,1997,2001,2
"Cornejo Vidaurrázaga, Patricio   ",Cornejo (don Patricio),V ,11,DC,1997,2001,2
"Elgueta Barrientos, Sergio   ",Elgueta,X ,57,DC,1997,2001,2
"Encina Moriamez, Francisco   ",Encina,IV,8,PS,1997,2001,2
"Hales Dib, Patricio   ",Hales,RM ,19,PPD,1997,2001,2
"Hernández Saffirio, Miguel   ",Hernandez,IX,49,DC,1997,2001,2
"Jaramillo Becker, Enrique   ",Jaramillo,X,54,PPD,1997,2001,2
"Jarpa Wevar, Carlos Abel   ",Jarpa,VIII,41,PRSD,1997,2001,2
"Jiménez Villavicencio, Jaime   ",Jimenez,RM,31,DC,1997,2001,2
"Jocelyn-Holt Letelier, Tomás   ",Joselyn Holt,RM,24,DC,1997,2001,2
"Krauss Rusque, Enrique   ",Krauss,RM,22,DC,1997,2001,2
"Leal Labrín, Antonio   ",Leal,III,5,PPD,1997,2001,2
"León Ramírez, Roberto   ",Leon,VII,36,DC,1997,2001,2
"Letelier Norambuena, Felipe   ",Letelier (don Felipe),VIII,42,PPD,1997,2001,2
"Letelier Morel, Juan Pablo   ",Letelier (don Juan Pablo),VI,33,PS,1997,2001,2
"Luksic Sandoval, Zarko   ",Luksic,RM,16,DC,1997,2001,2
"Montes Cisternas, Carlos   ",Montes,RM,26,PS,1997,2001,2
"Mulet Martínez, Jaime   ",Mulet,III,6,DC,1997,2001,2
"Muñoz Aburto, Pedro   ",Munoz (don Pedro),XII ,60,PS,1997,2001,2
"Muñoz D'Albora, Adriana   ",Munoz (dona Adriana),IV ,9,PPD,1997,2001,2
"Naranjo Ortiz, Jaime   ",Naranjo,VII ,39,PS,1997,2001,2
"Navarro Brain, Alejandro   ",Navarro,VIII ,45,PS,1997,2001,2
"Ojeda Uribe, Sergio   ",Ojeda,X,55,DC,1997,2001,2
"Olivares Zepeda, Carlos   ",Olivares,RM,18,DC,1997,2001,2
"Orpis Bouchon, Jaime   ",Orpis,RM,25,UDI,1997,2001,2
"Ortiz Novoa, José Miguel   ",Ortiz,VIII ,44,DC,1997,2001,2
"Palma Irarrázaval, Andrés   ",Palma (don Andres),RM,25,DC,1997,2001,2
"Pérez Lobos, Aníbal   ",Perez (don Anibal),VI ,32,PPD,1997,2001,2
"Pérez Arriagada, José   ",Perez (don Jose),VIII,47,PRSD,1997,2001,2
"Pollarolo Villa, Fanny   ",Pollarolo (dona Fanny),II ,3,PS,1997,2001,2
"Reyes Alvarado, Víctor   ",Reyes,X ,56,DC,1997,2001,2
"Rincón González, Ricardo   ",Rincon,VI ,33,DC,1997,2001,2
"Riveros Marín, Edgardo   ",Riveros,RM ,30,DC,1997,2001,2
"Rocha Manrique, Jaime   ",Rocha,VIII ,46,PRSD,1997,2001,2
"Rojas Molina, Manuel   ",Rojas,II ,4,UDI,1997,2001,2
"Rozas Velásquez, María   ",Rozas (dona Maria),RM,17,DC,1997,2001,2
"Saa Díaz, María Antonieta   ",Saa (dona Maria Antonieta),RM,17,PPD,1997,2001,2
"Sánchez Grunert, Leopoldo   ",Sanchez,XI ,59,PPD,1997,2001,2
"Sciaraffia Estrada, Antonella   ",Sciaraffia (dona Antonella),I,2,DC,1997,2001,2
"Seguel Molina, Rodolfo   ",Seguel,RM,28,DC,1997,2001,2
"Soria Macchiavello, Jorge   ",Soria,I ,2,PPD,1997,2001,2
"Soto González, Laura   ",Soto (dona Laura),V,14,PPD,1997,2001,2
"Tuma Zedan, Eugenio   ",Tuma,IX ,51,PPD,1997,2001,2
"Urrutia Cárdenas, Salvador   ",Urrutia,I,1,PPD,1997,2001,2
"Valenzuela Herrera, Felipe   ",Valenzuela,II,4,PS,1997,2001,2
"Vega Vera, Osvaldo   ",Vega,VII,40,RN,1997,2001,2
"Velasco De La Cerda, Sergio   ",Velasco,V,15,DC,1997,2001,2
"Venegas Rubio, Samuel",Venegas,V ,15,IND,1997,2001,2
"Villouta Concha, Edmundo   ",Villouta,IX,48,DC,1997,2001,2
"Walker Prieto, Ignacio   ",Walker (don Ignacio),V,10,DC,1997,2001,2
"Walker Prieto, Patricio   ",Walker (don Patricio),IV,8,DC,1997,2001,2
